@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
143,111,34,28,109,0.20438,0.765517,0.798561,0.765517,0.201439,0.78169,0.492908,1.553064,0.57892
144,111,34,27,110,0.19708,0.765517,0.804348,0.765517,0.195652,0.784452,0.489362,1.564318,0.581446
145,111,34,26,111,0.189781,0.765517,0.810219,0.765517,0.189781,0.787234,0.485816,1.575736,0.582918
146,110,35,26,111,0.189781,0.758621,0.808824,0.758621,0.191176,0.782918,0.48227,1.573022,0.586473
147,109,36,26,111,0.189781,0.751724,0.807407,0.751724,0.192593,0.778571,0.478723,1.570268,0.592867
148,108,37,26,111,0.189781,0.744828,0.80597,0.744828,0.19403,0.774194,0.475177,1.567473,0.596488
149,108,37,25,112,0.182482,0.744828,0.81203,0.744828,0.18797,0.776978,0.471631,1.579258,0.619614
150,107,38,25,112,0.182482,0.737931,0.810606,0.737931,0.189394,0.772563,0.468085,1.576489,0.628271
151,106,39,25,112,0.182482,0.731034,0.80916,0.731034,0.19084,0.768116,0.464539,1.573677,0.630772
152,105,40,25,112,0.182482,0.724138,0.807692,0.724138,0.192308,0.763636,0.460993,1.570822,0.632514
153,105,40,24,113,0.175182,0.724138,0.813953,0.724138,0.186047,0.766423,0.457447,1.582999,0.634743
154,104,41,24,113,0.175182,0.717241,0.8125,0.717241,0.1875,0.761905,0.453901,1.580172,0.638282
155,104,41,23,114,0.167883,0.717241,0.818898,0.717241,0.181102,0.764706,0.450355,1.592615,0.646409
156,103,42,23,114,0.167883,0.710345,0.81746,0.710345,0.18254,0.760148,0.446809,1.589819,0.648421
157,103,42,22,115,0.160584,0.710345,0.824,0.710345,0.176,0.762963,0.443262,1.602538,0.650271
158,102,43,22,115,0.160584,0.703448,0.822581,0.703448,0.177419,0.758364,0.439716,1.599778,0.658819
159,101,44,22,115,0.160584,0.696552,0.821138,0.696552,0.178862,0.753731,0.43617,1.596972,0.674459
160,100,45,22,115,0.160584,0.689655,0.819672,0.689655,0.180328,0.749064,0.432624,1.594121,0.674613
161,100,45,21,116,0.153285,0.689655,0.826446,0.689655,0.173554,0.75188,0.429078,1.607296,0.674618
162,100,45,20,117,0.145985,0.689655,0.833333,0.689655,0.166667,0.754717,0.425532,1.62069,0.68747
163,99,46,20,117,0.145985,0.682759,0.831933,0.682759,0.168067,0.75,0.421986,1.617966,0.692889
164,98,47,20,117,0.145985,0.675862,0.830508,0.675862,0.169492,0.745247,0.41844,1.615196,0.700772
